date,code,open,close,high,low,volume,amount,amplitude,pct_change,price_change,turnover_rate,RSI,MACD,MACD_signal,MACD_hist,MA20,MA50,BB_upper,BB_lower,BB_middle
2015-06-30,000021,12.9,14.37,14.44,12.1,670381,939658160.0,17.28,6.13,0.83,4.56,45.59651874740995,0.39663280230296927,0.8757392184026274,-0.4791064160996581,16.3815,,18.80138656758949,13.961613432410509,16.3815
2015-07-01,000021,13.97,12.85,14.51,12.85,517857,759070304.0,11.55,-10.58,-1.52,3.52,39.76174842490404,0.13782245909614765,0.7281558665413315,-0.5903334074451838,16.320500000000003,,19.01617412718972,13.624825872810284,16.320500000000003
2015-07-02,000021,12.87,11.48,13.21,11.48,402728,515248448.0,13.46,-10.66,-1.37,2.74,35.36863837614614,-0.17580755292168782,0.5473631826487276,-0.7231707355704154,16.116,13.7224,19.532550306961696,12.699449693038305,16.116
2015-07-03,000021,10.62,10.24,11.46,10.24,450121,510001616.0,10.63,-10.8,-1.24,3.06,31.929965520607652,-0.5184429463496603,0.3342019568490501,-0.8526449031987103,15.767,13.7008,19.99160933105063,11.54239066894937,15.767
2015-07-06,000021,11.34,9.13,11.34,9.13,653452,695432352.0,21.58,-10.84,-1.11,4.45,29.1937610637748,-0.8695283064843995,0.09345590418236017,-0.9629842106667597,15.357999999999999,13.6666,20.408938922616272,10.307061077383725,15.357999999999999
2015-07-07,000021,8.32,8.13,8.57,8.13,188869,171316212.0,4.82,-10.95,-1.0,1.28,26.95288870802962,-1.2144581093650721,-0.16812689852712628,-1.046331210837946,14.892499999999998,13.6206,20.742891012573434,9.042108987426563,14.892499999999998
2015-07-20,000021,9.03,9.03,9.03,9.03,6566,6507024.0,0.0,11.07,0.9,0.04,32.01104916470874,-1.3990674066719802,-0.41431500015609707,-0.984752406515883,14.521,13.5884,20.85009124598469,8.191908754015312,14.521
2015-07-21,000021,10.02,10.02,10.02,10.02,13386,14590478.0,0.0,10.96,0.99,0.09,37.16531009583176,-1.4487861734318415,-0.621209234811246,-0.8275769386205954,14.169999999999998,13.571,20.67748184784253,7.6625181521574675,14.169999999999998
2015-07-22,000021,11.11,11.11,11.11,11.11,141878,170111518.0,0.0,10.88,1.09,0.97,42.34759709573082,-1.3842776724780936,-0.7738229223446156,-0.610454750133478,13.842000000000002,13.571799999999998,20.271595943758836,7.4124040562411695,13.842000000000002
2015-07-23,000021,12.12,12.31,12.31,11.54,1181581,1514781568.0,6.93,10.8,1.2,8.04,47.482857854192154,-1.2222350842952086,-0.8635053547347342,-0.35872972956047433,13.584,13.5998,19.821818208316113,7.346181791683887,13.584
